entity_id,alias,strength,match_mode,required_context,blocked_context,note
KRX:000660,SK하이닉스,strong,substr,,,정식명
KRX:000660,하이닉스,strong,substr,,,
KRX:000660,SK hynix,strong,ci_substr,,,
KRX:000660,SK Hynix,strong,ci_substr,,,
KRX:000660,SKHY,strong,token,,,ADR 티커
KRX:000660,닉스,weak,token,하이닉스|SK|반도체|메모리,,축약형 오탐 주의
KRX:000660,하닉,strong,token,,,
KRX:005930,삼성전자,strong,substr,,삼성전자우,우선주 제외
KRX:005930,삼전,strong,token,,,
KRX:005930,Samsung Electronics,strong,ci_substr,,,
KRX:005930,전자,weak,token,삼성|SK|하이닉스,LG전자|한화|대덕전자|삼성전기,극도로 모호
KRX:005935,삼성전자우,strong,substr,,,
KRX:009150,삼성전기,strong,substr,,,
KRX:011070,LG이노텍,strong,substr,,,
KRX:066570,LG전자,strong,substr,,,
KRX:006400,삼성SDI,strong,substr,,,
KRX:051910,LG화학,strong,substr,,,
KRX:373220,LG에너지솔루션,strong,substr,,,
KRX:373220,LG엔솔,strong,token,,,
KRX:005380,현대차,strong,substr,,,
KRX:005380,현대자동차,strong,substr,,,
KRX:000270,기아,weak,token,자동차|현대차|완성차|판매,기아자동차판매,단독 사용 모호
KRX:105560,KB금융,strong,substr,,,
KRX:055550,신한지주,strong,substr,,,
KRX:086790,하나금융지주,strong,substr,,,
KRX:316140,우리금융지주,strong,substr,,,
KRX:001510,SK증권,strong,substr,,,증권사 헤더 다발 — role 판정 필수
KRX:006800,미래에셋증권,strong,substr,,,
KRX:016360,삼성증권,strong,substr,,,
KRX:003540,대신증권,strong,substr,,,
KRX:402340,SK스퀘어,strong,substr,,,
KRX:034730,SK,weak,token,그룹|최태원|지주|주가|시총,SK증권|SK하이닉스|SK스퀘어|SK텔레콤|SK이노베이션|SK바이오|SK가스|SK네트웍스|SK케미칼,그룹명 충돌 극심
KRX:017670,SK텔레콤,strong,substr,,,
KRX:096770,SK이노베이션,strong,substr,,,
KRX:047040,대우건설,strong,substr,,,
KRX:006360,GS건설,strong,substr,,,
KRX:078930,GS,weak,token,칼텍스|지주|그룹|정유,GS건설|GS리테일|GS글로벌,
KRX:007070,GS리테일,strong,substr,,,
KRX:000100,유한양행,strong,substr,,,
KRX:068270,셀트리온,strong,substr,,,
KRX:207940,삼성바이오로직스,strong,substr,,,
KRX:207940,삼바,weak,token,바이오|로직스|CDMO,,
KRX:352820,하이브,weak,token,엔터|아티스트|음반|BTS,,일반명사 충돌
KRX:035420,네이버,strong,substr,,,
KRX:035420,NAVER,strong,ci_token,,,
KRX:035720,카카오,strong,substr,,,
KRX:259960,크래프톤,strong,substr,,,
KRX:036570,엔씨소프트,strong,substr,,,
KRX:036570,엔씨,strong,token,,,
KRX:018260,삼성에스디에스,strong,substr,,,
KRX:015760,한국전력,strong,substr,,,
KRX:015760,한전,strong,token,,한전KPS|한전기술|한전산업,
KRX:034020,두산에너빌리티,strong,substr,,,
KRX:042660,한화오션,strong,substr,,,
KRX:012450,한화에어로스페이스,strong,substr,,,
KRX:012450,한화에어로,strong,token,,,
KRX:000880,한화,weak,token,그룹|지주|계열,한화오션|한화에어로|한화솔루션|한화시스템|한화생명|한화손해,그룹명 충돌
KRX:009830,한화솔루션,strong,substr,,,
KRX:010060,OCI홀딩스,strong,substr,,,
KRX:010950,S-Oil,strong,ci_substr,,,
KRX:010950,에쓰오일,strong,substr,,,
KOSDAQ:141080,리가켐바이오,strong,substr,,,
KOSDAQ:141080,리가켐,strong,token,,,
KOSDAQ:298380,에이비엘바이오,strong,substr,,,
KOSDAQ:237690,에스티팜,strong,substr,,,
KOSDAQ:226950,올릭스,strong,substr,,,
KOSDAQ:222800,심텍,strong,substr,,,
KOSDAQ:036930,주성엔지니어링,strong,substr,,,
KRX:007660,이수페타시스,strong,substr,,,
KOSDAQ:440110,파두,strong,token,,,
KOSDAQ:089970,브이엠,weak,token,진공|장비|반도체,,모호
KOSDAQ:122640,예스티,strong,token,,,
KOSDAQ:348340,뉴로메카,strong,substr,,,
KOSDAQ:067310,하나마이크론,strong,substr,,,
KRX:005090,SGC에너지,strong,substr,,,
KOSDAQ:281740,레이크머티리얼즈,strong,substr,,,
KOSDAQ:119850,지엔씨에너지,strong,substr,,,
KRX:317400,자이에스앤디,strong,substr,,,
KRX:317400,자이C&A,strong,ci_substr,,,
KRX:353200,대덕전자,strong,substr,,,
NASDAQ:MU,마이크론,strong,substr,,,
NASDAQ:MU,Micron,strong,ci_substr,,,
NASDAQ:MU,MU,weak,token,마이크론|Micron|메모리|DRAM,,2글자 티커
NASDAQ:NVDA,엔비디아,strong,substr,,,
NASDAQ:NVDA,NVIDIA,strong,ci_substr,,,
NASDAQ:NVDA,NVDA,strong,token,,,
NASDAQ:AMD,AMD,strong,token,,,
NASDAQ:INTC,인텔,strong,substr,,,
NASDAQ:INTC,Intel,strong,ci_token,,,
NASDAQ:AVGO,브로드컴,strong,substr,,,
NASDAQ:AVGO,Broadcom,strong,ci_substr,,,
NASDAQ:AAPL,애플,strong,token,,애플리케이션,
NASDAQ:AAPL,Apple,strong,ci_token,,,
NASDAQ:META,메타,weak,token,저커버그|하이페리온|데이터센터|Meta|플랫폼,메타버스|메타물질,일반명사 충돌
NASDAQ:META,Meta,strong,ci_token,,메타버스,
NASDAQ:GOOGL,구글,strong,substr,,,
NASDAQ:GOOGL,알파벳,strong,substr,,,
NASDAQ:GOOGL,Alphabet,strong,ci_substr,,,
NASDAQ:MSFT,마이크로소프트,strong,substr,,,
NASDAQ:MSFT,Microsoft,strong,ci_substr,,,
NASDAQ:AMZN,아마존,strong,substr,,,
NASDAQ:AMZN,Amazon,strong,ci_substr,,,
NASDAQ:TSLA,테슬라,strong,substr,,,
NASDAQ:TSLA,Tesla,strong,ci_substr,,,
NASDAQ:AMAT,어플라이드머티리얼즈,strong,substr,,,
NASDAQ:AMAT,AMAT,strong,token,,,
NASDAQ:LRCX,램리서치,strong,substr,,,
NASDAQ:LRCX,LRCX,strong,token,,,
NASDAQ:SNDK,샌디스크,strong,substr,,,
NASDAQ:SNDK,SanDisk,strong,ci_substr,,,
NASDAQ:WDC,웨스턴디지털,strong,substr,,,
NASDAQ:ARM,Arm,weak,ci_token,반도체|CPU|아키텍처|라이선스,,일반명사 충돌
NYSE:TSM,TSMC,strong,ci_substr,,,
NYSE:TSM,대만적체전로,strong,substr,,,
NYSE:BE,블룸에너지,strong,substr,,,
NYSE:BE,Bloom Energy,strong,ci_substr,,,
NYSE:GEV,GE베르노바,strong,substr,,,
NYSE:GEV,GEV,strong,token,,,
NYSE:ORCL,오라클,strong,substr,,,
NYSE:ORCL,Oracle,strong,ci_substr,,,
NASDAQ:CRWV,코어위브,strong,substr,,,
NASDAQ:CRWV,CoreWeave,strong,ci_substr,,,
SHA:688825,CXMT,strong,ci_token,,,
SHA:688825,창신메모리,strong,substr,,,
SHA:688825,ChangXin,strong,ci_substr,,,
SHA:688981,SMIC,strong,ci_token,,,
TPE:2408,난야테크,strong,substr,,,
TPE:2408,Nanya,strong,ci_substr,,,
TPE:2454,미디어텍,strong,substr,,,
TPE:2454,MediaTek,strong,ci_substr,,,
AMS:BESI,BESI,strong,ci_token,,,
NASDAQ:ASML,ASML,strong,ci_token,,,
TYO:9984,소프트뱅크,strong,substr,,,
TYO:9984,SoftBank,strong,ci_substr,,,
TYO:8035,도쿄일렉트론,strong,substr,,,
TYO:8035,TEL,weak,ci_token,도쿄일렉트론|장비|반도체,,약어 충돌
TYO:6146,디스코,weak,token,반도체|장비|그라인더,디스코드,
