alias,target,note
MS,모건스탠리,
모건,모건스탠리,
GS,골드만삭스,
골드만,골드만삭스,
JPM,JP모건,
JP모간,JP모건,
BofA,뱅크오브아메리카,
메릴,뱅크오브아메리카,
메릴린치,뱅크오브아메리카,
한투,한국투자증권,
한국투자,한국투자증권,
NH,NH투자증권,
삼성,삼성증권,
미래,미래에셋증권,
미래에셋,미래에셋증권,
KB,KB증권,
신한,신한투자증권,
하나,하나증권,
키움,키움증권,
메리츠,메리츠증권,
대신,대신증권,
유진,유진투자증권,
유안타,유안타증권,
교보,교보증권,
노무라증권,노무라,
한화투자,한화투자증권,
DB금투,DB금융투자,
IBK,IBK투자증권,
iM,iM증권,
하이투자,iM증권,
이베스트,LS증권,
다올,다올투자증권,
신영,신영증권,
흥국,흥국증권,
상상인,상상인증권,
케이프,케이프투자증권,
한양,한양증권,
부국,부국증권,
Citi,씨티,
씨티그룹,씨티,
Mizuho,미즈호,
Wedbush,웨드부시,
파이퍼,파이퍼샌들러,
RJ,레이먼드제임스,
코웬,TD코웬,
에버코어ISI,에버코어,
모펫,모펫네이선슨,
Needham,니덤,
SIG,서스퀘하나,
뉴스트리트,뉴스트리트리서치,
Stifel,스티펠,
Oppenheimer,오펜하이머,
Truist,트루이스트,
바클레이,바클레이즈,
